Serial No,Direct Sequencing or Culture,Clone
836489-18,Culture,
836489-18.2,Culture,
836489-18.3,Culture,
836489-18.4,Culture,
836489-18.5,Culture,
836489-19,Culture,
836489-19.2,Culture,
836489-19.3,Culture,
836489-19.4,Culture,
836489-19.5,Culture,
836489-20,Culture,
836489-21,Direct,
836489-22,Direct,
836489-23,Direct,
836489-24,Direct,
836489-25,Direct,
836489-26,Direct,
836489-26--3,Direct,Y
836489-26--7,Direct,Y
836489-26--8,Direct,Y
836489-26--10,Direct,Y
836489-26--11,Direct,Y
836489-27,Direct,
836489-27--1,Direct,Y
836489-27--2,Direct,Y
836489-27--3,Direct,Y
836489-27--4,Direct,Y
836489-27--5,Direct,Y
836489-27--6,Direct,Y
836489-27--7,Direct,Y
836489-27--8,Direct,Y
836489-27--9,Direct,Y
836489-27--10,Direct,Y
836489-27--11,Direct,Y
836489-27--12,Direct,Y
836489-28,Direct,
836489-29,Direct,
836489-29--01,Direct,Y
836489-29--02,Direct,Y
836489-29--03,Direct,Y
836489-29--04,Direct,Y
836489-29--05,Direct,Y
836489-29--06,Direct,Y
836489-29--07,Direct,Y
836489-29--08,Direct,Y
836489-29--09,Direct,Y
836489-29--10,Direct,Y
836489-29--11,Direct,Y
836489-30,Direct,
836489-30.2,Direct,
836489-30.3,Direct,
836489-30--1,Direct,Y
836489-30--2,Direct,Y
836489-30--3,Direct,Y
836489-30--4,Direct,Y
836489-30--5,Direct,Y
836489-30--6,Direct,Y
836489-30--7,Direct,Y
836489-30--8,Direct,Y
836489-30--9,Direct,Y
836489-30--10,Direct,Y
836489-30--11,Direct,Y
836489-30--12,Direct,Y
836489-30--13,Direct,Y
836489-30--14,Direct,Y
836489-30--15,Direct,Y
836489-30--16,Direct,Y
836489-30--17,Direct,Y
836489-30--18,Direct,Y
836489-30--19,Direct,Y
836489-30--20,Direct,Y
836489-30--21,Direct,Y
836489-31,Control,
836489-31.2,Control,
836489-31.3,Control,
836489-32,Control,
836489-32.2,Control,
836489-33,Control,
836490-01,Culture,
836490-02,Culture,
836490-03,Culture,
836490-04,Culture,
836490-05,Culture,
836490-06,Culture,
836490-07,Culture,
836490-08,Culture,
836490-09,Culture,
836490-09.2,Culture,
836490-10,Culture,
836490-11,Culture,
836490-12,Culture,
836490-12.2,Culture,
836490-13,Culture,
836490-14,Culture,
836490-15,Culture,
836490-16,Culture,
836490-17,Culture,
836490-17.2,Culture,
836490-18,Culture,
836490-19,Culture,
836490-20,Culture,
836490-20.2,Culture,
836490-21,Direct,
836490-22,Direct,
836490-22--1,Direct,Y
836490-22--2,Direct,Y
836490-22--3,Direct,Y
836490-22--4,Direct,Y
836490-22--5,Direct,Y
836490-22--6,Direct,Y
836490-22--7,Direct,Y
836490-22--8,Direct,Y
836490-22--9,Direct,Y
836490-22--10,Direct,Y
836490-22--11,Direct,Y
836490-22--12,Direct,Y
836490-22--13,Direct,Y
836490-22--14,Direct,Y
836490-22--15,Direct,Y
836490-22--16,Direct,Y
836490-22--17,Direct,Y
836490-22--18,Direct,Y
836490-22--19,Direct,Y
836490-22--20,Direct,Y
836490-22--21,Direct,Y
836490-22--22,Direct,Y
836490-23,Direct,
836490-24,Direct,
836490-25,Direct,
836490-26,Direct,
836490-27,Direct,
836490-28,Direct,
836490-29,Direct,
836490-30,Direct,
836490-31,Direct,
836490-32,Direct,
836490-33,Direct,
836490-34,Direct,
836490-35,Direct,
836490-36,Direct,
836490-37,Direct,
836490-38,Direct,
836490-39,Direct,
836490-39--01,Direct,Y
836490-39--03,Direct,Y
836490-39--04,Direct,Y
836490-39--05,Direct,Y
836490-39--06,Direct,Y
836490-39--07,Direct,Y
836490-39--08,Direct,Y
836490-39--09,Direct,Y
836490-39--10,Direct,Y
836490-39--12,Direct,Y
836490-40,Direct,
836490-40--01,Direct,Y
836490-40--02,Direct,Y
836490-40--04,Direct,Y
836490-40--05,Direct,Y
836490-40--06,Direct,Y
836490-40--08,Direct,Y
836490-40--11,Direct,Y
836490-41,Control,
836490-41.2,Control,
836490-42,Control,
836504-01,Culture,
836504-02,Culture,
836504-03,Culture,
836504-04,Culture,
836504-05,Culture,
836504-06,Culture,
836504-07,Culture,
836504-07.2,Culture,
836504-07.3,Culture,
836504-07.4,Culture,
836504-07.5,Culture,
836504-07.6,Culture,
836504-07.7,Culture,
836504-08,Culture,
836504-09,Culture,
836504-09.2,Culture,
836504-09.3,Culture,
836504-09.4,Culture,
836504-09.5,Culture,
836504-10,Culture,
836504-10-1,Culture,
836504-10.2,Culture,
836504-10.3,Culture,
836504-10.4,Culture,
836504-10.5,Culture,
836504-10.6,Culture,
836504-11,Culture,
836504-11.2,Culture,
836504-11.3,Culture,
836504-11.4,Culture,
836504-11.5,Culture,
836504-12,Culture,
836504-13,Culture,
836504-14,Culture,
836504-14.2,Culture,
836504-14.3,Culture,
836504-14.4,Culture,
836504-14.5,Culture,
836504-14.6,Culture,
836504-14.7,Culture,
836504-15,Culture,
836504-16,Culture,
836504-17,Culture,
836504-17-2,Culture,
836504-17-2.2,Culture,
836504-17.2,Culture,
836504-17.3,Culture,
836504-17.4,Culture,
836504-17.5,Culture,
836504-17.6,Culture,
836504-18,Culture,
836504-19,Culture,
836504-20,Culture,
836504-21,Direct,
836504-22,Direct,
836504-23,Direct,
836504-24,Direct,
836504-24--1,Direct,Y
836504-24--2,Direct,Y
836504-24--3,Direct,Y
836504-24--4,Direct,Y
836504-24--5,Direct,Y
836504-24--7,Direct,Y
836504-24--8,Direct,Y
836504-24--9,Direct,Y
836504-24--10,Direct,Y
836504-24--12,Direct,Y
836504-25,Direct,
836504-26,Direct,
836504-26--03,Direct,Y
836504-26--06,Direct,Y
836504-26--07,Direct,Y
836504-26--08,Direct,Y
836504-26--09,Direct,Y
836504-26--10,Direct,Y
836504-26--11,Direct,Y
836504-27,Direct,
836504-28,Direct,
836504-29,Direct,
836504-29--01,Direct,Y
836504-29--02,Direct,Y
836504-29--03,Direct,Y
836504-29--04,Direct,Y
836504-29--05,Direct,Y
836504-29--08,Direct,Y
836504-29--09,Direct,Y
836504-29--10,Direct,Y
836504-29--11,Direct,Y
836504-29--12,Direct,Y
836504-30,Direct,
836504-31,Control,
836504-31.2,Control,
836504-32,Control,
836504-32.2,Control,
836504-32.3,Control,
836504-32.4,Control,
836504-33,Control,
836515-01,Culture,
836515-02,Culture,
836515-03,Culture,
836515-04,Culture,
836515-04.2,Culture,
836515-04.3,Culture,
836515-04.4,Culture,
836515-04.5,Culture,
836515-05,Culture,
836515-05.2,Culture,
836515-05.3,Culture,
836515-05.4,Culture,
836515-05.5,Culture,
836515-06,Culture,
836515-07,Culture,
836515-08,Culture,
836515-09,Culture,
836515-09.2,Culture,
836515-09.3,Culture,
836515-09.4,Culture,
836515-09.5,Culture,
836515-09.6,Culture,
836515-09.7,Culture,
836515-10,Culture,
836515-10.2,Culture,
836515-10.3,Culture,
836515-10.4,Culture,
836515-10.5,Culture,
836515-10.6,Culture,
836515-11,Culture,
836515-11.2,Culture,
836515-11.3,Culture,
836515-11.4,Culture,
836515-11.5,Culture,
836515-11.6,Culture,
836515-12,Culture,
836515-12.2,Culture,
836515-12.3,Culture,
836515-13,Culture,
836515-14,Culture,
836515-15,Culture,
836515-15.2,Culture,
836515-15.3,Culture,
836515-15.4,Culture,
836515-16,Culture,
836515-16.2,Culture,
836515-16.3,Culture,
836515-16.4,Culture,
836515-16.5,Culture,
836515-16.6,Culture,
836515-17,Culture,
836515-17.2,Culture,
836515-18,Culture,
836515-18.2,Culture,
836515-18.3,Culture,
836515-18.4,Culture,
836515-18.5,Culture,
836515-19,Culture,
836515-20,Culture,
836515-21,Direct,
836515-22,Direct,
836515-23,Direct,
836515-24,Direct,
836515-25,Direct,
836515-26,Direct,
836515-26.2,Direct,
836515-26.3,Direct,
836515-26--1,Direct,Y
836515-26--2,Direct,Y
836515-26--3,Direct,Y
836515-26--4,Direct,Y
836515-26--5,Direct,Y
836515-26--6,Direct,Y
836515-26--7,Direct,Y
836515-26--8,Direct,Y
836515-26--9,Direct,Y
836515-26--10,Direct,Y
836515-26--11,Direct,Y
836515-26--12,Direct,Y
836515-27,Direct,
836515-28,Direct,
836515-29,Direct,
836515-30,Direct,
836515-31,Control,
836515-31.2,Control,
836515-32,Control,
836515-32.2,Control,
836515-32.3,Control,
836515-33,Control,
880079-01,Culture,
880079-02,Culture,
880079-03,Culture,
880079-04,Culture,
880079-05,Culture,
880079-06,Culture,
880079-07,Culture,
880079-08,Culture,
880079-09,Culture,
880079-10,Culture,
880079-10.2,Culture,
880079-11,Culture,
880079-12,Culture,
880079-13,Culture,
880079-14,Culture,
880079-15,Culture,
880079-16,Culture,
880079-17,Culture,
880079-18,Culture,
880079-19,Culture,
880079-20,Culture,
880079-21,Direct,
880079-21--1,Direct,Y
880079-21--2,Direct,Y
880079-21--3,Direct,Y
880079-21--4,Direct,Y
880079-21--5,Direct,Y
880079-21--6,Direct,Y
880079-21--7,Direct,Y
880079-21--8,Direct,Y
880079-21--9,Direct,Y
880079-21--10,Direct,Y
880079-21--11,Direct,Y
880079-21--12,Direct,Y
880079-22,Direct,
880079-22--1,Direct,Y
880079-22--2,Direct,Y
880079-22--3,Direct,Y
880079-22--4,Direct,Y
880079-22--5,Direct,Y
880079-22--6,Direct,Y
880079-22--7,Direct,Y
880079-22--8,Direct,Y
880079-22--9,Direct,Y
880079-22--10,Direct,Y
880079-22--11,Direct,Y
880079-22--12,Direct,Y
880079-23,Direct,
880079-24,Direct,
880079-25,Direct,
