Serial No,Direct Sequencing or Culture,Clone
880323-27,Direct,
880323-27--1,Direct,Y
880323-27--2,Direct,Y
880323-27--03,Direct,Y
880323-27--04,Direct,Y
880323-27--05,Direct,Y
880323-27--06,Direct,Y
880323-27--07,Direct,Y
880323-27--08,Direct,Y
880323-27--09,Direct,Y
880323-27--10,Direct,Y
880323-27--11,Direct,Y
880323-27--12,Direct,Y
880323-28,Direct,
880323-29,Direct,
880323-30,Direct,
880323-31,Direct,
880323-32,Direct,
880323-33,Direct,
880323-34,Direct,
880323-35,Direct,
880323-36,Direct,
880323-37,Direct,
880323-38,Direct,
880323-39,Direct,
880323-40,Direct,
880323-41,Control,
880323-41.2,Control,
880323-42,Control,
880334-01,Culture,
880334-01.2,Culture,
880334-02,Culture,
880334-02.2,Culture,
880334-03,Culture,
880334-03.2,Culture,
880334-04,Culture,
880334-04.2,Culture,
880334-05,Culture,
880334-05.2,Culture,
880334-06,Culture,
880334-07,Culture,
880334-08,Culture,
880334-08-1,Culture,
880334-08-2,Culture,
880334-09,Culture,
880334-09.2,Culture,
880334-10,Culture,
880334-11,Culture,
880334-12,Culture,
880334-13,Culture,
880334-14,Culture,
880334-15,Culture,
880334-16,Culture,
880334-16.2,Culture,
880334-16.3,Culture,
880334-16.2,Culture,
880334-17,Culture,
880334-18,Culture,
880334-19,Culture,
880334-20,Culture,
880334-20-1,Culture,
880334-20-2,Culture,
880334-21,Direct,
880334-22,Direct,
880334-23,Direct,
880334-24,Direct,
880334-24--01,Direct,Y
880334-24--02,Direct,Y
880334-24--03,Direct,Y
880334-24--04,Direct,Y
880334-24--05,Direct,Y
880334-24--06,Direct,Y
880334-24--07,Direct,Y
880334-24--08,Direct,Y
880334-24--09,Direct,Y
880334-24--10,Direct,Y
880334-24--11,Direct,Y
880334-24--12,Direct,Y
880334-25,Direct,
880334-26,Direct,
880334-27,Direct,
880334-27--01,Direct,Y
880334-27--02,Direct,Y
880334-27--03,Direct,Y
880334-27--04,Direct,Y
880334-27--05,Direct,Y
880334-27--06,Direct,Y
880334-27--07,Direct,Y
880334-27--08,Direct,Y
880334-27--09,Direct,Y
880334-27--10,Direct,Y
880334-27--11,Direct,Y
880334-27--12,Direct,Y
880334-28,Direct,
880334-29,Direct,
880334-30,Direct,
880334-31,Direct,
880334-32,Direct,
880334-33,Direct,
880334-34,Direct,
880334-35,Direct,
880334-36,Direct,
880334-36--1,Direct,Y
880334-36--2,Direct,Y
880334-36--3,Direct,Y
880334-36--4,Direct,Y
880334-36--5,Direct,Y
880334-36--6,Direct,Y
880334-36--7,Direct,Y
880334-36--8,Direct,Y
880334-37,Direct,
880334-38,Direct,
880334-39,Direct,
880334-40,Direct,
880334-41,Control,
880334-42,Control,
880345-01,Culture,
880345-02,Culture,
880345-03,Culture,
880345-04,Culture,
880345-05,Culture,
880345-06,Culture,
880345-07,Culture,
880345-08,Culture,
880345-09,Culture,
880345-10,Culture,
880345-11,Culture,
880345-12,Culture,
880345-13,Culture,
880345-14,Culture,
880345-15,Culture,
880345-16,Culture,
880345-17,Culture,
880345-18,Culture,
880345-19,Culture,
880345-20,Culture,
880345-21,Direct,
880345-22,Direct,
880345-23,Direct,
880345-24,Direct,
880345-25,Direct,
880345-26,Direct,
880345-27,Direct,
880345-27--1,Direct,Y
880345-27--2,Direct,Y
880345-27--3,Direct,Y
880345-27--4,Direct,Y
880345-27--5,Direct,Y
880345-27--6,Direct,Y
880345-27--7,Direct,Y
880345-27--8,Direct,Y
880345-27--9,Direct,Y
880345-27--10,Direct,Y
880345-27--11,Direct,Y
880345-27--12,Direct,Y
880345-28,Direct,
880345-29,Direct,
880345-30,Direct,
880345-30--1,Direct,Y
880345-30--2,Direct,Y
880345-30--3,Direct,Y
880345-30--4,Direct,Y
880345-30--5,Direct,Y
880345-30--6,Direct,Y
880345-30--7,Direct,Y
880345-30--8,Direct,Y
880345-30--9,Direct,Y
880345-30--10,Direct,Y
880345-30--11,Direct,Y
880345-30--12,Direct,Y
880345-31,Direct,
880345-32,Direct,
880345-33,Direct,
880345-34,Direct,
880345-35,Direct,
880345-35--1,Direct,Y
880345-35--2,Direct,Y
880345-35--3,Direct,Y
880345-35--4,Direct,Y
880345-35--5,Direct,Y
880345-35--6,Direct,Y
880345-35--7,Direct,Y
880345-35--8,Direct,Y
880345-35--9,Direct,Y
880345-35--10,Direct,Y
880345-35--11,Direct,Y
880345-35--12,Direct,Y
880345-36,Direct,
880345-37,Direct,
880345-38,Direct,
880345-39,Direct,
880345-40,Direct,
880345-41,Control,
880345-42,Control,
880356-01,Culture,
880356-01.2,Culture,
880356-02,Culture,
880356-02.2,Culture,
880356-03,Culture,
880356-04,Culture,
880356-04.2,Culture,
880356-05,Culture,
880356-06,Culture,
880356-07,Culture,
880356-08,Culture,
880356-09,Culture,
880356-10,Culture,
880356-10.2,Culture,
880356-11,Culture,
880356-12,Culture,
880356-13,Culture,
880356-14,Culture,
880356-15,Culture,
880356-16,Culture,
880356-17,Culture,
880356-18,Culture,
880356-19,Culture,
880356-20,Culture,
880356-21,Direct,
880356-22,Direct,
880356-23,Direct,
880356-24,Direct,
880356-25,Direct,
880356-26,Direct,
880356-27,Direct,
880356-28,Direct,
880356-29,Direct,
880356-30,Direct,
880356-31,Direct,
880356-32,Direct,
880356-33,Direct,
880356-34,Direct,
880356-35,Direct,
880356-35--1,Direct,Y
880356-35--2,Direct,Y
880356-35--3,Direct,Y
880356-35--4,Direct,Y
880356-35--5,Direct,Y
880356-35--6,Direct,Y
880356-35--7,Direct,Y
880356-35--8,Direct,Y
880356-35--9,Direct,Y
880356-35--10,Direct,Y
880356-35--11,Direct,Y
880356-35--12,Direct,Y
880356-36,Direct,
880356-36--1,Direct,Y
880356-36--2,Direct,Y
880356-36--3,Direct,Y
880356-36--4,Direct,Y
880356-36--5,Direct,Y
880356-36--6,Direct,Y
880356-36--7,Direct,Y
880356-36--8,Direct,Y
880356-36--9,Direct,Y
880356-36--10,Direct,Y
880356-36--11,Direct,Y
880356-36--12,Direct,Y
880356-37,Direct,
880356-38,Direct,
880356-39,Direct,
880356-40,Direct,
880356-41,Control,
880356-42,Control,
880367-01,Culture,
880367-02,Culture,
880367-03,Culture,
880367-04,Culture,
880367-05,Culture,
880367-06,Culture,
880367-06.2,Culture,
880367-07,Culture,
880367-08,Culture,
880367-09,Culture,
880367-09.2,Culture,
880367-10,Culture,
880367-11,Culture,
880367-12,Culture,
880367-13,Culture,
880367-14,Culture,
880367-15,Culture,
880367-16,Culture,
880367-16.2,Culture,
880367-17,Culture,
880367-17.2,Culture,
880367-18,Culture,
880367-19,Culture,
880367-20,Culture,
880367-21,Direct,
880367-22,Direct,
880367-23,Direct,
880367-24,Direct,
880367-25,Direct,
880367-26,Direct,
880367-27,Direct,
880367-28,Direct,
880367-29,Direct,
880367-30,Direct,
880367-30--1,Direct,Y
880367-30--2,Direct,Y
880367-30--3,Direct,Y
880367-30--4,Direct,Y
880367-30--5,Direct,Y
880367-30--6,Direct,Y
880367-30--7,Direct,Y
880367-30--8,Direct,Y
880367-30--9,Direct,Y
880367-30--10,Direct,Y
880367-30--11,Direct,Y
880367-31,Direct,
880367-32,Direct,
880367-33,Direct,
880367-34,Direct,
880367-35,Direct,
880367-36,Direct,
880367-37,Direct,
880367-38,Direct,
880367-39,Direct,
880367-40,Direct,
880367-41,Control,
880367-42,Control,
880585-01,Culture,
880585-02,Culture,
880585-03,Culture,
880585-04,Culture,
880585-05,Culture,
880585-06,Culture,
880585-07,Culture,
880585-08,Culture,
880585-09,Culture,
880585-10,Culture,
880585-11,Culture,
880585-12,Culture,
880585-13,Culture,
880585-14,Culture,
880585-15,Culture,
880585-16,Culture,
880585-17,Culture,
880585-18,Culture,
880585-18.2,Culture,
880585-19,Culture,
880585-20,Culture,
880585-21,Direct,
880585-22,Direct,
880585-22--02,Direct,Y
880585-22--03,Direct,Y
880585-22--05,Direct,Y
880585-22--06,Direct,Y
880585-23,Direct,
880585-24,Direct,
880585-25,Direct,
880585-26,Direct,
880585-27,Direct,
880585-28,Direct,
880585-29,Direct,
880585-30,Direct,
880585-30--2,Direct,Y
880585-30--3,Direct,Y
880585-30--4,Direct,Y
880585-30--5,Direct,Y
880585-30--6,Direct,Y
880585-30--7,Direct,Y
880585-30--8,Direct,Y
880585-30--9,Direct,Y
880585-30--10,Direct,Y
880585-30--11,Direct,Y
880585-31,Direct,
880585-31--01,Direct,Y
880585-31--02,Direct,Y
880585-31--04,Direct,Y
880585-31--07,Direct,Y
880585-31--08,Direct,Y
880585-31--09,Direct,Y
880585-32,Direct,
880585-33,Direct,
880585-34,Direct,
880585-35,Direct,
880585-36,Direct,
880585-37,Direct,
880585-38,Direct,
880585-39,Direct,
880585-40,Direct,
880585-41,Control,
880585-42,Control,
880600-01,Culture,
880600-01.2,Culture,
880600-01.3,Culture,
880600-01.4,Culture,
880600-01.5,Culture,
880600-01.6,Culture,
880600-02,Culture,
880600-02.2,Culture,
880600-02.3,Culture,
880600-02.4,Culture,
880600-02.5,Culture,
880600-02.6,Culture,
880600-03,Culture,
880600-04,Culture,
880600-05,Culture,
880600-06,Culture,
880600-06.2,Culture,
880600-06.3,Culture,
880600-06.4,Culture,
880600-06.5,Culture,
880600-07,Culture,
880600-08,Culture,
880600-09,Culture,
880600-09.2,Culture,
880600-09.3,Culture,
880600-09.4,Culture,
880600-09.5,Culture,
880600-10,Culture,
880600-10.2,Culture,
880600-11,Culture,
880600-12,Culture,
880600-13,Culture,
880600-13.2,Culture,
880600-13.3,Culture,
880600-13.4,Culture,
880600-14,Culture,
880600-15,Culture,
880600-16,Culture,
880600-17,Culture,
880600-17.2,Culture,
880600-17.3,Culture,
880600-17.4,Culture,
880600-18,Culture,
880600-18.2,Culture,
880600-18.3,Culture,
880600-18.4,Culture,
880600-19,Culture,
880600-20,Culture,
880600-20.2,Culture,
880600-21,Direct,
880600-21--01,Direct,Y
880600-21--11,Direct,Y
880600-21.2,Direct,
880600-22,Direct,
880600-22--01,Direct,Y
880600-22--05,Direct,Y
880600-22--07,Direct,Y
880600-22.2,Direct,
880600-22.3,Direct,
880600-23,Direct,
880600-23.2,Direct,
880600-24,Direct,
880600-24.2,Direct,
880600-25,Direct,
880600-25--01,Direct,Y
880600-25--02,Direct,Y
880600-25--03,Direct,Y
880600-25--04,Direct,Y
880600-25--05,Direct,Y
880600-25--06,Direct,Y
880600-25--07,Direct,Y
880600-25--08,Direct,Y
880600-25--09,Direct,Y
880600-25--10,Direct,Y
880600-25--12,Direct,Y
880600-25.2,Direct,
880600-26,Direct,
880600-26.2,Direct,
880600-27,Direct,
880600-27.2,Direct,
880600-28,Direct,
880600-28.2,Direct,
880600-28.3,Direct,
880600-28.4,Direct,
880600-28.5,Direct,
880600-29,Direct,
880600-29.2,Direct,
880600-30,Direct,
880600-30.2,Direct,
880600-31,Control,
880600-31.2,Control,
880600-31.3,Control,
880600-31.4,Control,
880600-32,Control,
880600-32.2,Control,
880600-32.3,Control,
880600-32.4,Control,
880600-33,Control,
880622-01,Culture,
880622-02,Culture,
880622-03,Culture,
880622-04,Culture,
880622-05,Culture,
880622-06,Culture,
880622-07,Culture,
880622-08,Culture,
880622-09,Culture,
880622-10,Culture,
880622-11,Culture,
880622-12,Culture,
880622-13,Culture,
880622-14,Culture,
880622-15,Culture,
880622-16,Culture,
880622-17,Culture,
880622-17.2,Culture,
880622-18,Culture,
880622-18.2,Culture,
880622-19,Culture,
880622-19.2,Culture,
880622-20,Culture,
880622-21,Direct,
880622-22,Direct,
880622-23,Direct,
880622-24,Direct,
880622-25,Direct,
880622-26,Direct,
880622-27,Direct,
880622-28,Direct,
880622-29,Direct,
880622-30,Direct,
880622-31,Direct,
880622-32,Direct,
880622-33,Direct,
880622-34,Direct,
880622-35,Direct,
880622-36,Direct,
880622-37,Direct,
880622-38,Direct,
880622-39,Direct,
880622-40,Direct,
880622-41,Control,
880622-42,Control,
880633-01,Culture,
880633-02,Culture,
880633-03,Culture,
880633-04,Culture,
880633-05,Culture,
880633-06,Culture,
880633-07,Culture,
880633-08,Culture,
880633-09,Culture,
880633-09,Culture,
880633-10,Culture,
880633-11,Culture,
880633-12,Culture,
880633-13,Culture,
880633-14,Culture,
880633-15,Culture,
880633-16,Culture,
880633-17,Culture,
880633-18,Culture,
880633-19,Culture,
880633-20,Culture,
880633-21,Direct,
880633-22,Direct,
880633-23,Direct,
880633-24,Direct,
880633-25,Direct,
880633-26,Direct,
880633-27,Direct,
880633-28,Direct,
880633-29,Direct,
880633-29--05,Direct,Y
880633-29--07,Direct,Y
880633-29--09,Direct,Y
880633-29--11,Direct,Y
880633-29--12,Direct,Y
880633-30,Direct,
880633-30--01,Direct,Y
880633-30--02,Direct,Y
880633-30--03,Direct,Y
880633-30--04,Direct,Y
880633-30--05,Direct,Y
880633-30--06,Direct,Y
880633-30--07,Direct,Y
880633-30--08,Direct,Y
880633-30--09,Direct,Y
880633-30--12,Direct,Y
880633-31,Direct,
880633-31--01,Direct,Y
880633-31--02,Direct,Y
880633-31--03,Direct,Y
880633-31--04,Direct,Y
880633-31--06,Direct,Y
880633-31--08,Direct,Y
880633-31--09,Direct,Y
880633-32,Direct,
880633-33,Direct,
880633-34,Direct,
880633-35,Direct,
880633-36,Direct,
880633-37,Direct,
880633-38,Direct,
880633-39,Direct,
880633-40,Direct,
880633-41,Control,
880633-42,Control,
880644-01,Culture,
880644-02,Culture,
880644-03,Culture,
880644-04,Culture,
880644-05,Culture,
880644-06,Culture,
880644-07,Culture,
880644-08,Culture,
880644-09,Culture,
880644-10,Culture,
880644-11,Culture,
880644-12,Culture,
880644-13,Culture,
880644-14,Culture,
880644-15,Culture,
880644-16,Culture,
880644-17,Culture,
880644-18,Culture,
880644-19,Culture,
880644-20,Culture,
880644-21,Direct,
880644-22,Direct,
880644-23,Direct,
880644-24,Direct,
880644-25,Direct,
880644-26,Direct,
880644-27,Direct,
880644-28,Direct,
880644-29,Direct,
880644-30,Direct,
880644-31,Direct,
880644-32,Direct,
880644-33,Direct,
880644-34,Direct,
880644-35,Direct,
880644-36,Direct,
880644-37,Direct,
880644-38,Direct,
880644-39,Direct,
880644-40,Direct,
880644-41,Control,
880644-42,Control,
882671-01,Culture,
882671-02,Culture,
882671-03,Culture,
882671-04,Culture,
882671-05,Culture,
882671-06,Culture,
882671-07,Culture,
882671-08,Culture,
882671-09,Culture,
882671-10,Culture,
882671-11,Culture,
882671-12,Culture,
882671-13,Culture,
882671-14,Culture,
882671-15,Culture,
882671-16,Culture,
882671-17,Culture,
882671-18,Culture,
882671-19,Culture,
882671-20,Culture,
882671-21,Direct,
882671-22,Direct,
882671-23,Direct,
882671-24,Direct,
882671-25,Direct,
882671-26,Direct,
882671-27,Direct,
882671-28,Direct,
882671-29,Direct,
882671-30,Direct,
882671-31,Direct,
882671-31--9,Direct,Y
882671-32,Direct,
882671-33,Direct,
882671-34,Direct,
882671-35,Direct,
882671-36,Direct,
882671-37,Direct,
882671-38,Direct,
882671-39,Direct,
882671-40,Direct,
882671-41,Control,
882671-42,Control,
882730-01,Culture,
882730-02,Culture,
882730-03,Culture,
882730-04,Culture,
882730-05,Culture,
882730-06,Culture,
882730-07,Culture,
882730-08,Culture,
882730-09,Culture,
882730-10,Culture,
882730-11,Culture,
882730-12,Culture,
882730-13,Culture,
882730-14,Culture,
882730-15,Culture,
882730-16,Culture,
882730-17,Culture,
882730-18,Culture,
882730-19,Culture,
882730-20,Culture,
882730-21,Direct,
882730-22,Direct,
882730-23,Direct,
882730-24,Direct,
882730-25,Direct,
882730-26,Direct,
882730-27,Direct,
882730-28,Direct,
882730-29,Direct,
882730-30,Direct,
882730-31,Direct,
882730-32,Direct,
882730-33,Direct,
882730-34,Direct,
882730-35,Direct,
882730-36,Direct,
882730-37,Direct,
882730-38,Direct,
882730-39,Direct,
882730-39--11,Direct,Y
882730-40,Direct,
882730-41,Control,
882730-41.2,Control,
882730-42,Control,
882741-01,Culture,
882741-02,Culture,
882741-03,Culture,
882741-03.2,Culture,
882741-04,Culture,
882741-05,Culture,
882741-06,Culture,
882741-07,Culture,
882741-08,Culture,
882741-09,Culture,
882741-10,Culture,
882741-11,Culture,
882741-12,Culture,
882741-13,Culture,
882741-14,Culture,
882741-15,Culture,
882741-16,Culture,
882741-17,Culture,
882741-18,Culture,
882741-19,Culture,
882741-20,Culture,
882741-21,Direct,
882741-22,Direct,
882741-23,Direct,
882741-24,Direct,
882741-25,Direct,
882741-26,Direct,
882741-27,Direct,
882741-28,Direct,
882741-29,Direct,
882741-30,Direct,
882741-31,Direct,
882741-32,Direct,
882741-33,Direct,
882741-34,Direct,
882741-35,Direct,
882741-36,Direct,
882741-37,Direct,
882741-38,Direct,
882741-39,Direct,
882741-40,Direct,
882741-41,Control,
882741-42,Control,
882785-01,Culture,
882785-02,Culture,
882785-03,Culture,
882785-04,Culture,
882785-05,Culture,
882785-06,Culture,
882785-07,Culture,
882785-08,Culture,
882785-09,Culture,
882785-10,Culture,
882785-11,Culture,
882785-12,Culture,
882785-13,Culture,
882785-14,Culture,
882785-15,Culture,
882785-16,Culture,
882785-16.2,Culture,
882785-16-1,Culture,
882785-17,Culture,
882785-18,Culture,
882785-18.2,Culture,
882785-19,Culture,
882785-19.2,Culture,
882785-19.3,Culture,
882785-20,Culture,
882785-20.2,Culture,
882785-21,Direct,
882785-22,Direct,
882785-23,Direct,
882785-24,Direct,
882785-25,Direct,
882785-26,Direct,
882785-27,Direct,
882785-28,Direct,
882785-29,Direct,
882785-30,Direct,
882785-31,Direct,
882785-32,Direct,
882785-33,Direct,
882785-34,Direct,
882785-35,Direct,
882785-36,Direct,
882785-37,Direct,
882785-38,Direct,
882785-39,Direct,
882785-40,Direct,
882785-41,Control,
882785-42,Control,
882800-01,Culture,
882800-02,Culture,
882800-03,Culture,
882800-04,Culture,
882800-05,Culture,
882800-06,Culture,
882800-07,Culture,
882800-08,Culture,
882800-09,Culture,
882800-10,Culture,
882800-11,Culture,
882800-12,Culture,
882800-13,Culture,
882800-13.2,Culture,
882800-13.3,Culture,
882800-13.4,Culture,
882800-14,Culture,
882800-15,Culture,
882800-16,Culture,
882800-17,Culture,
882800-18,Culture,
882800-19,Culture,
882800-20,Culture,
882800-21,Direct,
882800-21.2,Direct,
882800-22,Direct,
882800-22.2,Direct,
882800-23,Direct,
882800-23.2,Direct,
882800-24,Direct,
882800-24.2,Direct,
882800-25,Direct,
882800-25.2,Direct,
882800-26,Direct,
882800-26.2,Direct,
882800-27,Direct,
882800-27.2,Direct,
882800-28,Direct,
882800-28.2,Direct,
882800-29,Direct,
882800-29.2,Direct,
882800-30,Direct,
882800-31,Control,
882800-31.2,Control,
882800-31.3,Control,
882800-31.4,Control,
882800-31.5,Control,
882800-31.6,Control,
882800-32,Control,
882800-32.2,Control,
882800-34,Control,
882811-01,Culture,
882811-02,Culture,
882811-03,Culture,
882811-04,Culture,
882811-05,Culture,
882811-06,Culture,
882811-07,Culture,
882811-08,Culture,
882811-09,Culture,
882811-10,Culture,
882811-11,Culture,
882811-12,Culture,
882811-13,Culture,
882811-14,Culture,
882811-15,Culture,
882811-16,Culture,
882811-17,Culture,
882811-18,Culture,
882811-19,Culture,
882811-20,Culture,
882811-21,Direct,
882811-22,Direct,
882811-23,Direct,
882811-24,Direct,
882811-25,Direct,
882811-26,Direct,
882811-27,Direct,
882811-28,Direct,
882811-29,Direct,
882811-30,Direct,
882811-31,Direct,
882811-32,Direct,
882811-33,Direct,
882811-34,Direct,
882811-35,Direct,
882811-36,Direct,
882811-37,Direct,
882811-38,Direct,
882811-39,Direct,
882811-41,Control,
882811-42,Control,
882833-01,Culture,
882833-02,Culture,
882833-03,Culture,
882833-04,Culture,
882833-05,Culture,
882833-06,Culture,
882833-07,Culture,
882833-08,Culture,
882833-09,Culture,
882833-10,Culture,
882833-11,Culture,
882833-12,Culture,
882833-13,Culture,
882833-14,Culture,
882833-15,Culture,
882833-16,Culture,
882833-17,Culture,
882833-18,Culture,
882833-19,Culture,
882833-20,Culture,
882833-21,Direct,
882833-22,Direct,
882833-23,Direct,
882833-24,Direct,
882833-25,Direct,
882833-26,Direct,
882833-27,Direct,
882833-28,Direct,
882833-29,Direct,
882833-30,Direct,
882833-31,Direct,
882833-32,Direct,
882833-33,Direct,
882833-34,Direct,
882833-35,Direct,
882833-36,Direct,
882833-37,Direct,
882833-38,Direct,
882833-39,Direct,
882833-40,Direct,
882833-41,Control,
882833-42,Control,
882877-01,Culture,
882877-02,Culture,
882877-03,Culture,
882877-04,Culture,
882877-05,Culture,
882877-06,Culture,
882877-07,Culture,
882877-08,Culture,
882877-09,Culture,
882877-10,Culture,
882877-11,Culture,
882877-12,Culture,
882877-13,Culture,
882877-14,Culture,
882877-15,Culture,
882877-16,Culture,
882877-17,Culture,
882877-18,Culture,
882877-19,Culture,
882877-20,Culture,
882877-21,Direct,
882877-22,Direct,
882877-23,Direct,
882877-24,Direct,
882877-25,Direct,
882877-26,Direct,
882877-27,Direct,
882877-28,Direct,
882877-29,Direct,
882877-30,Direct,
882877-31,Direct,
882877-32,Direct,
882877-33,Direct,
882877-34,Direct,
882877-35,Direct,
882877-36,Direct,
882877-37,Direct,
882877-38,Direct,
882877-39,Direct,
882877-40,Direct,
882877-41,Control,
882877-42,Control,
882888-01,Culture,
882888-02,Culture,
882888-03,Culture,
882888-04,Culture,
882888-05,Culture,
882888-06,Culture,
882888-07,Culture,
882888-08,Culture,
882888-09,Culture,
882888-10,Culture,
882888-11,Culture,
882888-12,Culture,
882888-13,Culture,
882888-14,Culture,
882888-15,Culture,
882888-16,Culture,
882888-17,Culture,
882888-18,Culture,
882888-19,Culture,
882888-20,Culture,
882888-21,Direct,
882888-21.2,Direct,
882888-22,Direct,
882888-22.2,Direct,
882888-23,Direct,
882888-23.2,Direct,
882888-24,Direct,
882888-24.2,Direct,
882888-25,Direct,
882888-25.2,Direct,
882888-26,Direct,
882888-26.2,Direct,
882888-26.3,Direct,
882888-27,Direct,
882888-27.2,Direct,
882888-28,Direct,
882888-28.2,Direct,
882888-29,Direct,
882888-30,Direct,
882888-33,Control,
882899-01,Culture,
882899-02,Culture,
882899-03,Culture,
882899-04,Culture,
882899-05,Culture,
882899-06,Culture,
882899-07,Culture,
882899-08,Culture,
882899-09,Culture,
882899-10,Culture,
882899-11,Culture,
882899-12,Culture,
882899-13,Culture,
882899-14,Culture,
882899-15,Culture,
882899-16,Culture,
882899-17,Culture,
882899-18,Culture,
882899-19,Culture,
882899-20,Culture,
882899-21,Direct,
882899-22,Direct,
882899-23,Direct,
882899-24,Direct,
882899-25,Direct,
882899-26,Direct,
882899-27,Direct,
882899-28,Direct,
882899-29,Direct,
882899-30,Direct,
882899-31-1,Control,
882899-31-1.2,Control,
882899-31-2,Control,
882899-32-1,Control,
882899-32-1.2,Control,
882899-32-2,Control,
882899-33,Control,
928337-01,Culture,
928337-01.2,Culture,
928337-02,Culture,
928337-03,Culture,
928337-04,Culture,
928337-05,Culture,
928337-06,Culture,
928337-07,Culture,
928337-08,Culture,
928337-09,Culture,
928337-10,Culture,
928337-11,Culture,
928337-12,Culture,
928337-13,Culture,
928337-14,Culture,
928337-15,Culture,
928337-16,Culture,
928337-17,Culture,
928337-18,Culture,
928337-19,Culture,
928337-20,Culture,
928337-21,Direct,
928337-22,Direct,
928337-23,Direct,
928337-24,Direct,
928337-25,Direct,
928337-26,Direct,
928337-27,Direct,
928337-28,Direct,
928337-29,Direct,
928337-30,Direct,
928337-31,Direct,
928337-32,Direct,
928337-33,Direct,
928337-34,Direct,
928337-34--1,Direct,Y
928337-34--2,Direct,Y
928337-34--6,Direct,Y
928337-34--7,Direct,Y
928337-35,Direct,
928337-36,Direct,
928337-37,Direct,
928337-38,Direct,
928337-39,Direct,
928337-40,Direct,
928337-41,Control,
928337-42,Control,
928360-01,Culture,
928360-02,Culture,
928360-03,Culture,
928360-04,Culture,
928360-05,Culture,
928360-06,Culture,
928360-07,Culture,
928360-08,Culture,
928360-09,Culture,
928360-10,Culture,
928360-11,Culture,
928360-12,Culture,
928360-13,Culture,
928360-14,Culture,
928360-15,Culture,
928360-16,Culture,
928360-17,Culture,
928360-18,Culture,
928360-19,Culture,
928360-20,Culture,
928360-21,Direct,
928360-22,Direct,
928360-23,Direct,
928360-24,Direct,
928360-25,Direct,
928360-26,Direct,
928360-27,Direct,
928360-28,Direct,
928360-29,Direct,
928360-30,Direct,
928360-31,Direct,
928360-32,Direct,
928360-33,Direct,
928360-34,Direct,
928360-34--6,Direct,Y
928360-35,Direct,
928360-36,Direct,
928360-37,Direct,
928360-38,Direct,
928360-39,Direct,
928360-40,Direct,
928360-41,Control,
928360-42,Control,
928429-01,Culture,
928429-02,Culture,
928429-03,Culture,
928429-04,Culture,
928429-05,Culture,
928429-06,Culture,
928429-07,Culture,
928429-08,Culture,
928429-09,Culture,
928429-10,Culture,
928429-11,Culture,
928429-12,Culture,
928429-13,Culture,
928429-14,Culture,
928429-15,Culture,
928429-16,Culture,
928429-17,Culture,
928429-18,Culture,
928429-19,Culture,
928429-20,Culture,
928429-21,Direct,
928429-22,Direct,
928429-23,Direct,
928429-24,Direct,
928429-25,Direct,
928429-26,Direct,
928429-27,Direct,
928429-28,Direct,
928429-29,Direct,
928429-30,Direct,
928429-31,Direct,
928429-32,Direct,
928429-33,Direct,
928429-34,Direct,
928429-35,Direct,
928429-36,Direct,
928429-37,Direct,
928429-38,Direct,
928429-39,Direct,
928429-40,Direct,
928429-41,Control,
928429-42,Control,
928500-01,Culture,
928500-02,Culture,
928500-03,Culture,
928500-04,Culture,
928500-05,Culture,
928500-06,Culture,
928500-07,Culture,
928500-08,Culture,
928500-09,Culture,
928500-10,Culture,
928500-11,Culture,
928500-12,Culture,
928500-13,Culture,
928500-14,Culture,
928500-15,Culture,
928500-16,Culture,
928500-17,Culture,
928500-18,Culture,
928500-19,Culture,
928500-19-1,Culture,
928500-19-2,Culture,
928500-20,Culture,
928500-21,Direct,
928500-22,Direct,
928500-23,Direct,
928500-24,Direct,
928500-25,Direct,
928500-26,Direct,
928500-27,Direct,
928500-28,Direct,
928500-29,Direct,
928500-30,Direct,
928500-31,Direct,
928500-32,Direct,
928500-33,Direct,
928500-34,Direct,
928500-35,Direct,
928500-36,Direct,
928500-37,Direct,
928500-38,Direct,
928500-39,Direct,
928500-39--1,Direct,Y
928500-39--3,Direct,Y
928500-39--6,Direct,Y
928500-39--9,Direct,Y
928500-40,Direct,
928500-41,Control,
928500-42,Control,
928717-01,Culture,
928717-02,Culture,
928717-02.2,Culture,
928717-03,Culture,
928717-04,Culture,
928717-05,Culture,
928717-06,Culture,
928717-06.2,Culture,
928717-07,Culture,
928717-08,Culture,
928717-09,Culture,
928717-10,Culture,
928717-11,Culture,
928717-12,Culture,
928717-13,Culture,
928717-14,Culture,
928717-15,Culture,
928717-16,Culture,
928717-17,Culture,
928717-18,Culture,
928717-19,Culture,
928717-20,Culture,
928717-21,Direct,
928717-22,Direct,
928717-23,Direct,
928717-24,Direct,
928717-25,Direct,
928717-26,Direct,
928717-27,Direct,
928717-28,Direct,
928717-29,Direct,
928717-30,Direct,
928717-31,Direct,
928717-32,Direct,
928717-33,Direct,
928717-34,Direct,
928717-35,Direct,
928717-36,Direct,
928717-37,Direct,
928717-38,Direct,
928717-39,Direct,
928717-40,Direct,
928717-41,Control,
928717-41.2,Control,
928717-42,Control,
928728-01,Culture,
928728-02,Culture,
928728-03,Culture,
928728-04,Culture,
928728-05,Culture,
928728-06,Culture,
928728-07,Culture,
928728-08,Culture,
928728-09,Culture,
928728-10,Culture,
928728-11,Culture,
928728-12,Culture,
928728-13,Culture,
928728-14,Culture,
928728-15,Culture,
928728-16,Culture,
